"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"218";0;1067490;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";1067490;0;7683.81809396475;3764.05;1913;4018.2606423281;3334.75;2492;1480.23080803374;1610.18;1085;2804.60619042393;2128.46;1161;852.961924787187;1343.52;711;55;8845;0;605;60;60;12340;0;35;25;20;5405;0;0;0;20;5760;0;0;25;5;3535;0;0;15
"219";1157275;962775;0;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";2120050;0;904.385991480052;1187.13;423;2373.27862204518;1662.46;705;3256.52667927089;2686.47;2228;5893.28623474681;7655.99;5407;5254.14548770969;3619.73;962;15;2085;0;0;15;15;3455;0;0;55;30;10630;0;420;60;55;24885;5;2030;60;55;4680;0;35;40
"22";0;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";0;0;674.632936570938;0;0;942.206621124896;0;0;20.2401552218128;0;0;224.220097778407;0;0;353.892649288526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"220";0;18732;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";18732;0;0;0;0;7.47212286000654;4.28;6;544.944450903274;274.37;294;2330.98661597119;912.12;328;974.30358251506;275.36;41;0;0;0;0;0;0;24;0;0;0;24;1152;0;0;0;52;1224;0;36;0;16;132;0;0;16
"221";0;112812;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";112812;0;734.462068002678;1222.66;626;730.775674615667;1313.85;289;3312.16401199728;1750.12;1297;0;0;0;0;0;0;0;1878;0;0;0;0;867;0;0;0;66;3816;0;0;9;0;0;0;0;0;0;0;0;0;0
"222";0;261908;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";261908;0;516.533467893374;883.49;848;590.599801543619;381.86;147;1272.75281232455;1604.02;1472;2310.66977316015;1797.8;423;578.096477300124;239.68;304;15;4225;0;0;0;10;695;0;0;30;50;6035;0;1260;15;40;2070;0;5;0;0;1490;0;0;30
"223";0;226180;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";226180;0;438.659421886008;836.74;807;328.140167107264;610.12;252;1173.36839847719;1305.17;668;407.999105204237;894.85;693;306.222712324005;882.56;210;0;4020;0;15;0;0;1255;0;5;0;0;3320;0;5;15;0;3445;0;20;0;0;1045;0;5;0
"224";24193365;18401215;0;"1_ER31";"24";"2_Affaires_directes";"3_Sante";42594580;0;19961.7409090402;33018;6259;26114.0604660004;42272.42;10892;24116.5224650394;31208.75;14814;13275.1907262492;22064.22;8620;8678.18152301414;12170.9;3970;265;29765;0;1150;115;350;52790;0;1285;35;165;73390;0;435;80;195;42580;0;200;125;615;18700;0;505;30
"225";293632;22940;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";316572;0;0;0;0;0;0;0;0;0;0;2872.5467492924;5159.01;2466;3575.2206494378;5164.98;2122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4892;0;26;4;24;4194;0;22;4
"226";0;1815564;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";1815564;0;3058.61600298305;3174.85;1689;2304.10384093825;2863.95;2032;1270.21121820782;1300.01;1639;3700.19430355827;1788.62;2031;3028.88771484647;1257.79;572;135;8235;0;45;30;0;10145;0;0;15;10;8175;0;0;10;10;9770;0;375;0;0;2510;0;350;0
