"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Mnt_dep_2018";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Mnt_dep_2019";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Mnt_dep_2020";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Mnt_dep_2021";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Mnt_dep_2022";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"925";2664264050;35118550;103457350;"1_ERCAC";"113";"2_Affaires_directes";"3_Sante";2802839950;0;31358.22;11896.6957501681;15826.35;10454;130277.91;54455.9628344939;63663.1;44374;167015.52;73927.5015390049;78082.42;53476;176091.65;78041.8690708789;87721.14;55631;111371;52200.6123655105;62046.06;25895;4696;179027;0;5561;546;4696;179027;0;5561;546;4696;179027;0;5561;546;4696;179027;0;5561;546;4696;179027;0;5561;546
"926";0;785295;0;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";785295;0;1811.48;476.604726645802;1325.91;235;1847.52;772.176347071997;1075.65;127;2025.61;712.0540695664;1291.64;586;2644.46;908.5142503804;1745.5;894;1756.92;411.707221598804;1128.91;97;8;1298;0;630;3;8;1298;0;630;3;8;1298;0;630;3;8;1298;0;630;3;8;1298;0;630;3
"927";6693300;0;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";6693300;0;6910.63;3053.81762068196;3762.49;1212;9421.26;5040.62747699625;3571.72;2052;5486.76;2858.86597613732;2276.82;1923;9680.68;5145.31422958136;4112;971;6066.25;3977.14026776005;2262.25;502;1130;5457;0;35;38;1130;5457;0;35;38;1130;5457;0;35;38;1130;5457;0;35;38;1130;5457;0;35;38
"928";3729325415;46940830;282880265;"1_ERCAC";"114";"2_Affaires_directes";"3_Sante";4059146510;0;30636.99;11023.670373293;15660.57;7953;46280.55;17405.7714556287;25071.88;11462;186035.28;89120.1581851468;86760.13;65798;375617.68;171564.873286641;188018.66;101422;246200.24;122329.910183989;139471.21;60422;3594;229809;9;12971;674;3594;229809;9;12971;674;3594;229809;9;12971;674;3594;229809;9;12971;674;3594;229809;9;12971;674
"929";11033972560;191918680;659551520;"1_ERCAC";"32";"2_Affaires_directes";"3_Sante";11885442760;0;354033.36;140891.786183432;168905.94;112086;401089.06;161729.08274492;188546.48;117714;355550.54;156316.49444318;170058.12;132295;417968.64;180586.107961447;202807.91;119572;247675.27;115827.839122794;133202.13;58949;12532;505512;0;21260;1312;12532;505512;0;21260;1312;12532;505512;0;21260;1312;12532;505512;0;21260;1312;12532;505512;0;21260;1312
"93";0;1474240;0;"1_ER66";"17";"2_Affaires_directes";"3_Sante";1474240;0;1789.11;863.750506800251;628.18;755;1573.29;702.559292587767;844.4;812;438.12;160.195954391113;253.31;442;2288.82;982.598692502466;1271.39;2238;949.94;234.582380919937;759.4;360;1;4590;0;16;0;1;4590;0;16;0;1;4590;0;16;0;1;4590;0;16;0;1;4590;0;16;0
"930";799105;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";799105;0;7358.66;2113.35070087686;1474.2;273;2884.01;872.785493254322;916.72;349;2635.21;762.418787164438;1015.03;559;3128.66;1269.02804991287;1039.37;1043;747.48;179.094672784839;622.11;27;15;2225;0;5;6;15;2225;0;5;6;15;2225;0;5;6;15;2225;0;5;6;15;2225;0;5;6
"931";668680;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";668680;0;1297.75;456.252032741096;836.5;432;1243.65;596.001281040138;598.25;302;565.95;168.489953077913;289.04;336;1136.87;487.798386257902;533.98;530;1647.28;645.674029985624;529.33;232;7;1817;0;2;6;7;1817;0;2;6;7;1817;0;2;6;7;1817;0;2;6;7;1817;0;2;6
"932";454009395;25698645;82134885;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";561842925;0;108615.43;49844.4732571486;45636.98;30603;111382.51;52881.8455398844;41305.85;21834;76483.33;39365.8557950659;31170.37;20979;99407.73;48897.075667169;44985.46;18097;43517.36;25911.3685051659;19901.2;9266;2200;96369;2;1700;508;2200;96369;2;1700;508;2200;96369;2;1700;508;2200;96369;2;1700;508;2200;96369;2;1700;508
"933";0;0;120980;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";120980;0;32;13.46;18.54;5;199.87;72.1243044434544;121.02;115;572.15;186.84117220529;385.79;771;1375.12;852.443798301405;538.01;98;156.26;60.7570090185729;96.91;63;6;769;0;274;3;6;769;0;274;3;6;769;0;274;3;6;769;0;274;3;6;769;0;274;3
