"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"288";5401803;0;0;"754";"1_ERCAC";"19900401";"20501231";5401803;0;7289.98916464641;8370.6;4396;8669.89805068975;11456.07;4646;4403.98292302666;4217.28;1943;5954.40483151038;6556.08;2447;3848.35018238147;4282.69;1449;1079.41586526199;21559.2080965104;0;11461.1975713888;2350.12429007087;10148.086861209;18048.2534867223;0;13151.9205924361;2001.22931308142;2655.42333767576;10761.5462439202;0;4773.05916938353;3829.88586415379;7923.7107607297;17342.545371788;0;1472.79373609668;3032.97428893757;10806.252704349;6210.63440111637;0;379.254237652916;1845.60956878911
"289";0;633498165;0;"757";"1_ERCAC";"20120101";"20501231";633498165;0;256860.551580506;341611.85;141315;220041.809250631;282205.93;127390;186814.953956808;202542.35;114201;226826.91817485;214461.3;121552;128416.223556317;163080.93;78337;174882.406490845;695237.714717833;0;349664.970032211;64517.6666616411;126455.902061913;596891.209352661;0;311183.409161892;65678.5256766884;88369.7940668792;503787.547759261;0;285763.403021093;56154.0249368065;146086.326815976;608011.713026474;0;305997.919748891;74038.6312829083;88594.3685539022;367648.479342555;0;160963.35316542;24874.9167197074
"29";202725;0;0;"37";"1_ER11";"20060701";"20501231";202725;0;926.923730099398;875.54;1473;210.678661919375;416.12;90;906.613233372031;528.05;509;1634.78573509395;706.73;205;195.456590715069;268.45;108;0;2634.4724268842;0;0;2000.14622361279;581.357115450152;472.036194146724;0;0;0;1776.97624821129;1254.8897422579;0;0;1501.20017639096;6113.28729076552;1042.10294290092;0;0;1018.53844180334;134.256369472652;843.026584102691;0;0;0
"290";4812440;0;0;"759";"1_ERCAC";"19980101";"20501231";4812440;0;22271.7832757508;7068.27;2978;7600.88489642587;6148.28;3046;10913.7598177733;22331.38;3163;16049.1471816352;31924.33;5237;1667.06891128408;12368.64;4981;1819.92535517446;14096.7060029941;3311.48414638195;89547.0231201223;2583.77775408128;2976.20385672372;6799.30222139577;0;26428.0763996773;1800.84200433258;0;12005.4703708292;0;42563.3287180373;0;4967.16489573864;16644.9942564749;1746.56084162965;54865.1496438356;2021.86627049699;0;8283.08244835882;0;52.2621080615688;0
"291";32753658;0;0;"760";"1_ERCAC";"20140101";"20501231";32753658;0;21807.7348689275;36175.28;15394;27038.0380862573;31547.06;17869;15183.7971385756;20085.67;11140;17766.4462247875;34223.08;12140;16371.2992556344;14556;6688;11690.8763204402;52485.4824743705;0;26751.7504686753;18110.5650811516;7552.62846837997;47541.6244116494;0;68626.2522138828;11469.6853373745;15791.2415972955;46037.3097434471;0;4511.6068686921;9578.82748344312;13000.0529225573;38758.8279829193;0;27330.1203487398;9743.22986972107;14144.8103377049;36521.1181454935;0;28052.2559066402;3138.31188833322
"292";87248;0;0;"762";"1_ERCAC";"20020901";"20501231";87248;0;517.581158556771;613.13;444;874.367867096133;1360.89;204;410.94692187694;423.2;399;216.440945443321;431.76;68;536.988543538621;381.01;33;214.65;1373.25579278385;0;0;1000;0;3521.31687742106;0;850.522458059604;0;0;1053.93449179073;0;0;1000.80011759397;518.773216703977;563.431510512628;0;0;0;2363.67541265974;321.267305033366;0;0;0
"293";0;0;30820;"550";"1_ERCAC";"20190101";"20501231";30820;0;0;0;0;390.44984512875;177.04;703;216.207663695879;33.96;16;51.6121975662439;69.98;8;205.108768034331;344.52;814;0;0;0;0;0;0;523.561612888361;0;0;1038.23776762664;0;63.9502966008832;0;0;800.880358182633;0;206.448790264976;0;0;0;0;664.522860949644;0;155.912211187681;0
"294";63391134;766056;0;"763";"1_ERCAC";"20160101";"20501231";64157190;0;23484.4787011506;16189.44;13853;26264.1187840403;16209.53;10917;32526.3616382016;17894.57;13071;36840.1956120951;29695.25;18776;38667.1886676966;49631.18;7221;37550.3674937614;53728.6351836502;2250.21933541918;2484.33451110141;21408.8369818208;35379.7351696379;60460.4606882897;0;4447.56810245814;31032.8299598155;50147.1864747324;55325.7356267713;1501.65067159244;8726.92959563434;46930.3058222778;44459.770016995;80174.5260814055;2284.24901743819;20314.4772812159;36967.9556634209;47628.7551620562;49769.223974208;1846.71759934872;64955.6445951988;29135.6020076715
"295";50706;0;0;"767";"1_ERCAC";"20140101";"20501231";50706;0;281.904419110457;445.33;168;2406.90690449194;1114.89;286;4206.12368046524;1917.21;57;88.2966300071011;134.62;40;151.40622024527;204.11;388;0;1409.52209555229;0;0;0;10779.92187931;1254.61264314968;0;0;0;17700.4628888044;3330.15551352185;0;0;0;0;441.483150035505;0;0;0;0;757.031101226352;0;0;0
"296";1336425;0;0;"768";"1_ERCAC";"19910101";"20501231";1336425;0;12110.3829282853;16797.32;5441;1172.50554091803;1909.18;878;1917.97957506001;1076.45;396;722.264316506865;928.35;649;1105.72831833538;1102.76;361;24662.3423828343;19380.9043330664;0;10676.1;5832.56792552572;734.601258529475;3887.16427195017;0;240.14751756977;1000.61465654071;8145.75045882982;1324.01536274283;0;120.132053727395;0;0;2604.10365896721;0;0;1007.21792356711;350.322328596452;5178.31926308044;0;0;0
