"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Produit1";"Produit2";"Produit3";"Annee_adhesion";"Tps_adh_entreprise";"Max_code_ape";"Max_departement";"Max_regroup1";"Max_regroup4";"BASE_percent";"OPTION_percent";"Nb_pers";"Nb_fam";"Anciennete_moy";"Tps_adh_moy_pers";"Asspri";"Asspri_percent";"Conjoint";"Conjoint_percent";"Enfant";"Enfant_percent";"Femme";"Femme_percent";"Homme";"Homme_percent";"Respo";"Respo_percent";"Non_respo";"Non_respo_percent";"VIP";"Prod1_Ind2018";"Prod1_Ind2019";"Prod1_Ind2020";"Prod1_Ind2021";"Prod1_Ind2022";"Prod1_Ind2023";"Prod2_Ind2018";"Prod2_Ind2019";"Prod2_Ind2020";"Prod2_Ind2021";"Prod2_Ind2022";"Prod2_Ind2023";"Prod3_Ind2018";"Prod3_Ind2019";"Prod3_Ind2020";"Prod3_Ind2021";"Prod3_Ind2022";"Prod3_Ind2023";"Renégo2020";"Renégo2021";"Renégo2022"
"624";0;28;0;1363;1362;NA;2012;3819;NA;NA;"ERCAC";"53";100;0;8;2;2011;1522;16;57.1428571428571;12;42.8571428571429;0;0;16;57.1428571428571;12;42.8571428571429;0;0;0;0;FALSE;0.025;0;0;0;0.02;0.06;0.025;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"625";0;83;0;1365;1364;1366;2011;4336;NA;NA;"ERCAC";"53";100;0;60;23;2011;3775;57;68.6746987951807;22;26.5060240963855;4;4.81927710843374;32;38.5542168674699;51;61.4457831325301;9;10.8433734939759;0;0;FALSE;0.04;0.02;0;0;0.02;0.06;0.04;0.02;0;0;0.02;0.06;0.04;0.02;0;0;0.02;0.06;FALSE;FALSE;FALSE
"626";0;78;0;1367;NA;NA;2011;4336;"8899B";NA;"ERCAC";"53";100;0;44;16;2011;4336;56;71.7948717948718;22;28.2051282051282;0;0;42;53.8461538461538;36;46.1538461538462;78;100;0;0;FALSE;0.04;0.02;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"627";0;12;0;1368;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;12;4;2011;3515;8;66.6666666666667;4;33.3333333333333;0;0;6;50;6;50;0;0;0;0;FALSE;0.01;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"628";328;0;0;1369;NA;NA;2011;4336;NA;"15";"ERCAC";"53";100;0;138;67;2012;4336;296;90.2439024390244;12;3.65853658536585;20;6.09756097560976;158;48.1707317073171;170;51.8292682926829;328;100;0;0;FALSE;0.04;0.1;0.03;0.04;0.03;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"629";0;76;0;1371;1370;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;22;10;2011;2557;46;60.5263157894737;20;26.3157894736842;10;13.1578947368421;44;57.8947368421053;32;42.1052631578947;68;89.4736842105263;0;0;FALSE;0.01;0;0.05;0.04;0.02;0.2;0.01;0;0.05;0.04;0.02;0.2;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"63";2;0;0;104;NA;NA;1997;9237;"524V";"11";"ER11";"3";100;0;2;1;2003;7168;2;100;0;0;0;0;0;0;2;100;2;100;0;0;FALSE;0;0;0;0;0.02;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"630";0;10;0;1372;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;10;3;2011;4336;6;60;4;40;0;0;6;60;4;40;0;0;0;0;FALSE;0.025;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"631";0;4;0;1373;NA;NA;2012;3697;NA;NA;"ERCAC";"53";100;0;4;1;2012;3697;2;50;2;50;0;0;2;50;2;50;0;0;0;0;FALSE;0.01;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"632";0;2;0;1375;NA;NA;2014;3240;"8710A";NA;"ERCAC";"53";100;0;2;1;2014;3240;2;100;0;0;0;0;2;100;0;0;2;100;0;0;FALSE;0;0;0;0;0.02;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
