"Lien_E";"Code_ape";"Departement";"Regroup1";"Regroup4";"Produit_max";"Nb_pers_2018";"Nb_fam_2018";"Base_2018";"Option_2018";"Actifs_2018";"Non_actifs_2018";"Portabilite_2018";"Asspri_2018";"Conjoint_2018";"Enfants_2018";"Femmes_2018";"Hommes_2018";"Respo_2018";"Non_respo_2018";"Index_2018";"Tps_adh_E_par_L_2018";"Tps_adh_P_par_L_2018";"Nb_pers_2019";"Nb_fam_2019";"Base_2019";"Option_2019";"Actifs_2019";"Non_actifs_2019";"Portabilite_2019";"Asspri_2019";"Conjoint_2019";"Enfants_2019";"Femmes_2019";"Hommes_2019";"Respo_2019";"Non_respo_2019";"Index_2019";"Tps_adh_E_par_L_2019";"Tps_adh_P_par_L_2019";"Nb_pers_2020";"Nb_fam_2020";"Base_2020";"Option_2020";"Actifs_2020";"Non_actifs_2020";"Portabilite_2020";"Asspri_2020";"Conjoint_2020";"Enfants_2020";"Femmes_2020";"Hommes_2020";"Respo_2020";"Non_respo_2020";"Index_2020";"Tps_adh_E_par_L_2020";"Tps_adh_P_par_L_2020";"Nego_2020";"Nb_pers_2021";"Nb_fam_2021";"Base_2021";"Option_2021";"Actifs_2021";"Non_actifs_2021";"Portabilite_2021";"Asspri_2021";"Conjoint_2021";"Enfants_2021";"Femmes_2021";"Hommes_2021";"Respo_2021";"Non_respo_2021";"Index_2021";"Tps_adh_E_par_L_2021";"Tps_adh_P_par_L_2021";"Nego_2021";"Nb_pers_2022";"Nb_fam_2022";"Base_2022";"Option_2022";"Actifs_2022";"Non_actifs_2022";"Portabilite_2022";"Asspri_2022";"Conjoint_2022";"Enfants_2022";"Femmes_2022";"Hommes_2022";"Respo_2022";"Non_respo_2022";"Index_2022";"Index_2023";"Tps_adh_E_par_L_2022";"Tps_adh_P_par_L_2022";"Nego_2022";"VIP"
"334";NA;NA;"ERCAC";"27";"832";12;11;12;0;0;8;0;8;4;0;4;8;12;0;NA;13;12;10;9;10;0;0;7;0;7;3;0;4;6;10;0;NA;14;12.9;9;8;9;0;0;6;0;6;3;0;4;5;9;0;NA;15;13.8;FALSE;20;13;20;0;0;13;0;13;7;0;9;11;20;0;NA;16;7.2;FALSE;18;12;18;0;0;12;0;12;6;0;8;10;18;0;NA;NA;17;7.5;FALSE;FALSE
"335";NA;"12";"ERCAC";"27";"833";116;56;116;0;54;0;0;54;29;33;47;69;116;0;NA;8.5;6.2;113;55;113;0;52;0;0;52;27;34;46;67;113;0;NA;9.5;6.6;120;57;120;0;54;0;0;54;30;36;49;71;120;0;NA;10.5;7;FALSE;132;61;132;0;55;0;0;55;33;44;57;75;132;0;NA;11.5;6.9;FALSE;120;57;120;0;51;0;0;51;33;36;53;67;120;0;NA;NA;12.5;7.8;FALSE;FALSE
"336";NA;"12";"ERCAC";"27";"834";21;12;21;0;12;0;0;12;2;7;13;8;21;0;NA;28;14.8;19;11;19;0;11;0;0;11;2;6;12;7;19;0;NA;29;15.6;12;8;12;0;8;0;0;8;2;2;7;5;12;0;NA;30;20.5;FALSE;11;8;11;0;8;0;0;8;2;1;7;4;11;0;NA;31;21.9;FALSE;6;4;6;0;4;0;0;4;2;0;4;2;6;0;NA;NA;32;21.9;FALSE;FALSE
"337";"4674A";NA;"ERCAC";"27";"837";14;8;14;0;0;8;0;8;6;0;6;8;0;14;NA;7;4.1;14;8;14;0;0;8;0;8;6;0;6;8;0;14;NA;8;5.1;14;8;14;0;0;8;0;8;6;0;6;8;0;14;NA;9;6.1;FALSE;10;6;10;0;0;6;0;6;4;0;4;6;0;10;NA;10;7.1;FALSE;8;5;8;0;0;5;0;5;3;0;3;5;0;8;NA;NA;11;7.4;FALSE;FALSE
"338";NA;NA;"ERCAC";"5";"841";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;2;2;0;NA;1;1;2;2;2;0;0;2;0;2;0;0;0;2;2;0;NA;2;2;FALSE;2;2;2;0;0;2;0;2;0;0;0;2;2;0;NA;3;3;FALSE;1;1;1;0;0;1;0;1;0;0;0;1;1;0;NA;NA;4;4;FALSE;FALSE
"339";"521B";NA;"ERCAC";"27";"843";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;2;1;2;0;0;1;0;1;1;0;1;1;0;2;NA;NA;3;1;FALSE;FALSE
"340";"7010Z";"12";"ERCAC";"27";"856";2966;1628;2966;0;1238;299;49;1586;563;817;1393;1573;2846;120;0.07;5.9;6.7;2927;1609;2927;0;1229;301;41;1571;568;788;1394;1533;2809;118;0;6.9;7.5;2975;1606;2975;0;1248;285;30;1563;591;821;1413;1562;2857;118;0.01;7.9;8.2;FALSE;3257;1854;3257;0;1507;275;31;1813;611;833;1542;1715;3145;112;0.015;8.8;8.7;FALSE;2995;1646;2995;0;1319;266;19;1604;598;793;1416;1579;2885;110;0;0.085;9.8;9.6;FALSE;FALSE
"341";"1013A";"12";"ERCAC";"27";"847";4;1;4;0;1;0;0;1;1;2;2;2;4;0;NA;21.4;7.7;4;1;4;0;1;0;0;1;1;2;2;2;4;0;NA;22.4;8.7;3;1;3;0;1;0;0;1;1;1;2;1;3;0;NA;23.4;9.7;FALSE;3;1;3;0;1;0;0;1;1;1;2;1;3;0;NA;24.4;10.7;FALSE;2;1;2;0;1;0;0;1;1;0;1;1;2;0;NA;NA;25.4;11.7;FALSE;FALSE
"344";NA;NA;"ERCAC";"27";"851";20;15;20;0;0;15;0;15;3;2;15;5;0;20;NA;25;11.7;18;14;18;0;0;14;0;14;3;1;14;4;0;18;NA;26;13.7;18;14;18;0;0;14;0;14;3;1;14;4;0;18;NA;27;14.7;FALSE;18;14;18;0;0;14;0;14;3;1;14;4;0;18;NA;28;15.7;FALSE;18;14;18;0;0;14;0;14;3;1;14;4;0;18;NA;NA;29;16.7;FALSE;FALSE
"345";NA;NA;"ERCAC";"27";"857";10;5;10;0;0;5;0;5;5;0;5;5;0;10;NA;5;5;10;5;10;0;0;5;0;5;5;0;5;5;0;10;NA;6;6;10;5;10;0;0;5;0;5;5;0;5;5;0;10;NA;7;7;FALSE;10;5;10;0;0;5;0;5;5;0;5;5;0;10;NA;8;8;FALSE;10;5;10;0;0;5;0;5;5;0;5;5;0;10;NA;NA;9;9;FALSE;FALSE
"346";"2443Z";NA;"ERCAC";"27";"862";200;126;200;0;0;126;0;126;74;0;102;98;200;0;NA;8.3;7.5;190;120;190;0;0;120;0;120;70;0;96;94;190;0;NA;9.3;8.5;181;116;181;0;0;116;0;116;65;0;91;90;181;0;NA;10.3;9.5;FALSE;172;113;172;0;0;113;0;113;59;0;88;84;172;0;NA;11.3;10.5;FALSE;166;109;166;0;0;109;0;109;57;0;84;82;166;0;NA;NA;12.3;11.5;FALSE;FALSE
"347";"2443Z";NA;"ERCAC";"27";"863";5;3;5;0;0;2;0;2;2;1;2;3;5;0;NA;1;4.3;6;3;6;0;0;2;0;2;3;1;3;3;6;0;NA;2;3.7;4;3;4;0;0;2;0;2;2;0;2;2;4;0;NA;3;3.9;FALSE;6;4;6;0;0;3;0;3;3;0;3;3;6;0;NA;4;3.6;FALSE;6;4;6;0;0;3;0;3;3;0;3;3;6;0;NA;NA;5;4.6;FALSE;FALSE
"348";"2443Z";"12";"ERCAC";"27";"864";93;75;93;0;16;59;0;75;18;0;61;32;0;93;NA;49.7;39.9;84;67;84;0;16;51;0;67;17;0;54;30;0;84;NA;50.9;40.9;77;62;77;0;15;47;0;62;15;0;49;28;0;77;NA;51.8;41.9;FALSE;67;54;67;0;14;40;0;54;13;0;42;25;0;67;NA;52.8;43.1;FALSE;57;47;57;0;12;35;0;47;10;0;37;20;0;57;NA;NA;53.6;43.9;FALSE;FALSE
"349";"6512Z";"12";"ERCAC";"42";"865";209;125;209;0;99;9;16;124;24;61;142;67;209;0;NA;2.7;2.1;209;126;209;0;102;10;14;126;23;60;138;71;209;0;NA;3.7;2.7;212;131;212;0;111;9;9;129;24;59;142;70;212;0;NA;4.7;3.2;FALSE;215;129;215;0;110;9;8;127;21;67;142;73;215;0;NA;5.8;3.4;FALSE;219;135;219;0;117;10;6;133;19;67;147;72;219;0;NA;0;6.8;3.7;FALSE;FALSE
"35";"4520A";"12";"ERCAC";"8";"2047";1554;930;1409;145;818;37;60;915;183;456;598;956;1554;0;0.03;3;2.4;1574;950;1436;138;859;36;41;936;174;464;595;979;1574;0;NA;3.9;2.9;1666;1010;1529;137;927;40;33;1000;182;484;624;1042;1666;0;-0.02;4.6;3.3;FALSE;1709;1025;1586;123;957;36;26;1019;185;505;641;1068;1709;0;0;5.3;3.7;FALSE;1652;1014;1543;109;948;33;27;1008;172;472;614;1038;1652;0;0;0.1;6.2;4.3;FALSE;FALSE
"350";NA;"12";"ERCAC";"27";"868";2;2;2;0;2;0;0;2;0;0;1;1;2;0;NA;36.3;32;2;2;2;0;2;0;0;2;0;0;1;1;2;0;NA;37.3;33;2;2;2;0;2;0;0;2;0;0;1;1;2;0;NA;38.3;34;FALSE;2;2;2;0;2;0;0;2;0;0;1;1;2;0;NA;39.3;35;FALSE;2;2;2;0;2;0;0;2;0;0;1;1;2;0;NA;NA;40.3;36;FALSE;FALSE
