"Lien_E";"Code_ape";"Departement";"Regroup1";"Regroup4";"Produit_max";"Nb_pers_2018";"Nb_fam_2018";"Base_2018";"Option_2018_p";"Actifs_2018_p";"Non_actifs_2018_p";"Portabilite_2018_p";"Asspri_2018_p";"Conjoint_2018_p";"Enfants_2018_p";"Femmes_2018_p";"Hommes_2018_p";"Respo_2018_p";"Non_respo_2018_p";"Index_2018";"Tps_adh_E_par_L_2018";"Tps_adh_P_par_L_2018";"Nb_pers_2019";"Nb_fam_2019";"Base_2019";"Option_2019_p";"Actifs_2019_p";"Non_actifs_2019_p";"Portabilite_2019_p";"Asspri_2019_p";"Conjoint_2019_p";"Enfants_2019_p";"Femmes_2019_p";"Hommes_2019_p";"Respo_2019_p";"Non_respo_2019_p";"Index_2019";"Tps_adh_E_par_L_2019";"Tps_adh_P_par_L_2019";"Nb_pers_2020";"Nb_fam_2020";"Base_2020";"Option_2020_p";"Actifs_2020_p";"Non_actifs_2020_p";"Portabilite_2020_p";"Asspri_2020_p";"Conjoint_2020_p";"Enfants_2020_p";"Femmes_2020_p";"Hommes_2020_p";"Respo_2020_p";"Non_respo_2020_p";"Index_2020";"Tps_adh_E_par_L_2020";"Tps_adh_P_par_L_2020";"Nego_2020";"Nb_pers_2021";"Nb_fam_2021";"Base_2021";"Option_2021_p";"Actifs_2021_p";"Non_actifs_2021_p";"Portabilite_2021_p";"Asspri_2021_p";"Conjoint_2021_p";"Enfants_2021_p";"Femmes_2021_p";"Hommes_2021_p";"Respo_2021_p";"Non_respo_2021_p";"Index_2021";"Tps_adh_E_par_L_2021";"Tps_adh_P_par_L_2021";"Nego_2021";"Nb_pers_2022";"Nb_fam_2022";"Base_2022";"Option_2022_p";"Actifs_2022_p";"Non_actifs_2022_p";"Portabilite_2022_p";"Asspri_2022_p";"Conjoint_2022_p";"Enfants_2022_p";"Femmes_2022_p";"Hommes_2022_p";"Respo_2022_p";"Non_respo_2022_p";"Index_2022";"Index_2023";"Tps_adh_E_par_L_2022";"Tps_adh_P_par_L_2022";"Nego_2022";"VIP"
"91";NA;"66";"ER66";"17";"316";4;3;4;0;100;0;0;75;0;25;75;25;100;0;NA;19;15.8;3;3;3;0;100;0;0;100;0;0;66.67;33.33;100;0;NA;20;16;3;3;3;0;100;0;0;100;0;0;66.67;33.33;100;0;NA;21;17;FALSE;3;3;3;0;100;0;0;100;0;0;66.67;33.33;100;0;NA;22;18;FALSE;3;3;3;0;100;0;0;100;0;0;66.67;33.33;100;0;NA;NA;23;19;FALSE;FALSE
"910";"9499Z";"11";"ERCAC";"5";"2098";1206;795;1206;0;100;0;0;65.84;34.08;0.08;57.21;42.79;100;0;0.05;3.2;2.1;1343;878;1343;0;100;0;0;65.3;34.62;0.07;57.19;42.81;100;0;0.05;4.2;2.7;1384;918;1384;0;100;0;0;66.26;33.74;0;57.44;42.56;100;0;0.05;5.2;3.4;FALSE;1370;921;1370;0;100;0;0;67.08;32.92;0;58.18;41.82;100;0;0.06;6.2;4.3;FALSE;1346;913;1346;0;100;0;0;67.83;32.17;0;58.47;41.53;100;0;0.05;0.16;7.2;5.3;FALSE;FALSE
"911";"8121Z";NA;"ERCAC";"109";"2026";152;101;152;0;87;1;12;65.79;9.21;25;57.89;42.11;100;0;NA;2;1.9;140;99;140;0;89.69;2.06;8.25;69.29;8.57;22.14;58.57;41.43;100;0;NA;2.6;2.1;132;94;132;0;90.32;2.15;7.53;70.45;8.33;21.21;59.09;40.91;100;0;NA;3.7;2;FALSE;154;106;154;0;90.57;1.89;7.55;68.83;9.09;22.08;57.14;42.86;100;0;NA;4.4;1.9;FALSE;151;109;151;0;92.59;2.78;4.63;71.52;9.27;19.21;55.63;44.37;100;0;NA;NA;5.4;2.1;FALSE;FALSE
"912";"6831Z";"24";"ERCAC";"110";"2028";102;49;102;0;100;0;0;48.04;17.65;34.31;56.86;43.14;100;0;NA;1;0.9;127;62;127;0;100;0;0;48.82;18.11;33.07;55.91;44.09;100;0;NA;2;0.9;152;70;152;0;100;0;0;46.05;17.76;36.18;53.95;46.05;100;0;NA;3;1.7;FALSE;184;84;184;0;100;0;0;45.65;19.02;35.33;51.63;48.37;100;0;NA;4;2.4;FALSE;204;99;204;0;100;0;0;48.53;19.12;32.35;50.98;49.02;100;0;NA;NA;5;3.2;FALSE;TRUE
"913";"4676Z";"66";"ER66";"3";"2035";5;3;5;0;100;0;0;60;0;40;0;100;100;0;NA;4.5;10.8;5;3;5;0;100;0;0;60;0;40;0;100;100;0;NA;5.5;11.8;5;3;5;0;100;0;0;60;0;40;0;100;100;0;NA;6.5;12.8;FALSE;5;3;5;0;100;0;0;60;0;40;0;100;100;0;NA;7.5;13.8;FALSE;5;3;5;0;100;0;0;60;0;40;0;100;100;0;NA;NA;8.5;14.8;FALSE;FALSE
"914";"011G";"11";"ER11";"3";"2036";14;7;14;0;100;0;0;50;21.43;28.57;42.86;57.14;100;0;NA;11.3;3.6;14;7;14;0;100;0;0;50;21.43;28.57;42.86;57.14;100;0;NA;12.3;4.6;15;8;15;0;100;0;0;53.33;20;26.67;46.67;53.33;100;0;NA;13.3;5.2;FALSE;13;7;13;0;100;0;0;53.85;15.38;30.77;38.46;61.54;100;0;NA;14.3;6.4;FALSE;13;7;13;0;100;0;0;53.85;23.08;23.08;46.15;53.85;100;0;NA;NA;15.3;5.9;FALSE;FALSE
"915";"2562B";"66";"ER66";"3";"2038";1;1;1;0;0;100;0;100;0;0;0;100;100;0;NA;9.8;9.8;1;1;1;0;0;100;0;100;0;0;0;100;100;0;NA;10.8;10.8;1;1;1;0;0;100;0;100;0;0;0;100;100;0;NA;11.8;11.8;FALSE;1;1;1;0;0;100;0;100;0;0;0;100;100;0;NA;12.8;12.8;FALSE;1;1;1;0;0;100;0;100;0;0;0;100;100;0;NA;NA;13.8;13.8;FALSE;FALSE
"916";"6920Z";NA;"ER66";"3";"2039";4;1;4;0;100;0;0;25;25;50;75;25;100;0;NA;11.2;11.2;4;1;4;0;100;0;0;25;25;50;75;25;100;0;NA;12.2;12.2;5;2;5;0;50;0;50;40;20;40;60;40;100;0;NA;4;10.6;FALSE;3;1;3;0;100;0;0;33.33;33.33;33.33;66.67;33.33;100;0;NA;14.2;14.2;FALSE;3;1;3;0;100;0;0;33.33;33.33;33.33;66.67;33.33;100;0;NA;NA;15.2;15.2;FALSE;FALSE
"917";NA;NA;"ER11";"3";"2040";1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;0;2;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;1;3;2;2;2;0;0;100;0;100;0;0;100;0;100;0;NA;2;0.6;FALSE;2;2;2;0;0;100;0;100;0;0;100;0;100;0;NA;3;1.6;FALSE;2;2;2;0;0;100;0;100;0;0;100;0;100;0;NA;NA;4;2.6;FALSE;FALSE
"918";NA;NA;"ER11";"2";"90";5;4;5;0;0;100;0;60;40;0;40;60;0;100;NA;11;9;5;4;5;0;0;100;0;60;40;0;40;60;0;100;NA;12;10;5;4;5;0;0;100;0;60;40;0;40;60;0;100;NA;13;11;FALSE;4;3;4;0;0;100;0;75;25;0;50;50;0;100;NA;14;11.8;FALSE;4;3;4;0;0;100;0;75;25;0;50;50;0;100;NA;NA;15;12.8;FALSE;FALSE
